index,user_id,user_location,user_bio,hashtag,tokens,Segmented#
13,1.01e+18,"Oceanside, CA",https://www.theguardian.com/technology/2021/aug/29/the-smartest-person-in-any-room-anywhere-in-defence-of-elon-musk-by-douglas-coupland,[],,
14,1.14e+18,"Moundville, AL","2022 Hale County High School (AL) OLB, DE,ILB 3.5 gpa Cell:205-826-8694 (NOT COMMITTED)Email-Malachipasteur7@gmail.com NCAA ID-2111383688|",[],hale county high school olb ilb gpa cell commit email malachipasteur com ncaa,
15,2704903370.0,"Goodyear, AZ",21💎AZ 💰 ✧🩺✧ #Godfirst Onlygodcanjudgeme 🐲 #FUCKCANCER let’s come together to fight against it. Check my pinned tweet.,"['Godfirst', 'FUCKCANCER']",let come fight check pin tweet,godfirst fuckcancer
16,1.41e+18,International space station,🇻🇮The owner of @entboyent 🔥 🏢 #ikeherbs 🌿old Twitter disabled #2️⃣3️⃣,"['ikeherbs', '2']",owner old twitter disable,ikeherbs 2
17,9.53e+17,"PO Box 8384 Reno, Nevada 89507","👋We’re the MoFs, CARRIE & JOELLE. We say and do mom stuff. 💜 Find us on YouTube http://youtube.com/c/MomsofFurries or at our Young Furry Chill Space™",[],mofs carrie joelle mom stuff youtube young furry chill space,
18,194408255.0,"Napa, CA","Walk-in humidor w/largest selection of #cigars in Napa. Temp controlled cellar. 161 Silverado Trl. Over 21 yrs only. 
Carrie, owner/wine, baseball & schtuff",['cigars'],walk humidor largest selection napa temp control cellar silverado trl yrs carrie owner wine baseball schtuff,cigars
19,1.39e+18,"Huntington Beach, CA",MAYC #18926 Surf - Travel - NFTs - DS Studios Marketing Team #MAYC #BAYC #LYXE #TIME #3DOG Drug Addiction Recovery 10/10/15 #Anime #Cats 🐈‍⬛🐈‍⬛,"['18926', 'MAYC', 'BAYC', 'LYXE', 'TIME', '3DOG', 'Anime', 'Cats']",mayc surf travel nfts studios market team dog drug addiction recovery, 18926 mayc bayc lyxe time  3 dog  anime  cats
20,3436026893.0,"San Diego, CA",999,[],,
22,1164943705.0,Being Black Somewhere,My mind is an enigma 💭| she/her,[],mind enigma,
23,3152138960.0,Skagit County Washington,"Kidney transplant recipient from the University of Washington. Currently enjoying my 2nd chance at life. STL Native. Huskies, Blues, Suns, both Cardinals.",[],kidney transplant recipient university washington currently enjoy chance life stl native huskies blue sun cardinals,
24,107671828.0,Vancouver 🇨🇦,"Comedian (Allegedly) , Sports Fan (for real)",[],comedian allegedly sport fan real,
25,50706690.0,New York State,Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.,[],traffic transit update new york state provide new york state visit website feed,
27,596758460.0,Somewhere you not,23. 555 -XO -DMV raised,[],dmv raise,
28,227562254.0,"Columbus, OH",LongLiveMaxo LongLiveJJ,[],longlivemaxo longlivejj,
29,1e+18,"Thibodaux, LA",nicholls st TE — Barstool Athlete,[],cholls barstool athlete,
30,18565282.0,"Salt Lake City, Utah USA","Instructional Design, artist, Teacher, Canadian/American Dual Citizen, working in Web Design Multimedia Painter, photographer",[],instructional design artist teacher canadian american dual citizen work web design multimedia painter photographer,
31,51865759.0,773,Content Creator for @SmokedOutCouch & @itsthebigs IG: @Brandon.Guy3 Snap :@bgc03 #SmokedOutSaturdaze Contact BrandonGuyFilms@gmail.com,['SmokedOutSaturdaze'],content creator guy snap contact brandonguyfilms com,smoked out saturdaze
32,571011065.0,"Charlotte, NC via DC","Member of your City's City Club. Guess I'll liven up this party. bitch bad, Woman Better.",[],member city city club guess liven party bitch bad woman better,
33,165972827.0,Orlando/Chicago,"flowers can't grow without God sending rain // never let anyone dull your sparkle // broken crayons still color
formerly pixistix23",[],flower grow god send rain let dull sparkle break crayon color pixistix,
34,840760081.0,"Corvallis, OR","Ecotox & EnvStress lab PI, co-lead @pnwmicroplastic: tweets re:science and re:life #blm #steminist #firstgenacademic she/her/mom @OSU_coastal @OSUfwcs","['blm', 'steminist', 'firstgenacademic']",ecotox envstress lab lead tweet science life mom,blm steminist  first gen academic
35,240377941.0,"Ottawa, Canada","Daughter, sister, mom, just trying to help make the world a better place. Founder @BareBottomsDD Tweets my own POV",[],daughter sister mom try help world better place founder tweet pov,
36,3353669627.0,United States,💘 24 💘 artist 💘 lover 💘 MUSIC WILL BE OUT SOON (?) 💘 my art + science facts + random tweets 💘 hope u enjoy 💘🐉🐳🍧💎🗝☄️🎀🪅💞⚡️ #DigitalArtist,['DigitalArtist'],artist lover music soon art science facts random tweet hope enjoy,digital artist
37,409709438.0,"Los Angeles, CA","ho, why is u here?",[],,
38,18730629.0,"San Antonio, TX","Radio Boy, Tx⚡️🎙 IG: JOEYCRADIO @iheartradio San Antonio - Nationwide @961nowsa @1045latino_hits",[],radio boy joeycradio san antonio nationwide nowsa latino hit,
39,1267322072.0,"Glen Burnie, MD","Old school nerd/father. Likes #CriticalRole, #DnD, #Malifaux, #40k, #MCU, #Fallout76.

Ask me how amazing my daughter is, but be prepared for about 8,000 photos","['CriticalRole', 'DnD', 'Malifaux', '40k', 'MCU', 'Fallout76']",old school nerd father like ask amaze daughter prepare photos,critical role  dn d  malifaux  40 k mcu  fallout 76
40,987985261.0,Probably With Lexy,❤️10-10-15❤️ #ThunderUp Nursing Student 🩺 He/Him,['ThunderUp'],nurse student,thunder up
41,17694421.0,"Oakland, CA",|Co-Fndr @BCBurritos x @TeslaOwnersEbay | Opinons ➡️Own |🖤🔋🏎 | 🌮🌯Deliveries in a #Tesla |Husband x Dad:👧🏻👧🏻🐶| $TSLA | #BITCOIN |#HellaTeslas |,"['Tesla', 'BITCOIN', 'HellaTeslas']",fndr opinons deliveries husband dad tsla,tesla bitcoin  hella teslas
42,1.01e+18,"Dallas, TX","sc: omgitsdannie 💖 | work in progress 🤞🏾| ♍️ sun, ♎️ moon, ♒️ rising",[],omgitsdannie work progress sun moon rise,
43,285849335.0,"San Francisco, Jammin’",(Controversial) opinions likely those of my former employer | Community Development Research @ClevelandFed | @sfglobalshapers | @IANetworkTweets |,[],controversial opinions likely employer community development research,
44,1.08e+18,"California, USA",#LawAndOrderSVU #Logic #Eminem • Diane Neal aka Casey Novak is bae 😁💙 Goal: Get followed by @dianeneal 🙏🏽 RIP BROOKE 😭😇🕊️ #4EverBrooke #RattPack ✌🏼💙➕,"['LawAndOrderSVU', 'Logic', 'Eminem', '4EverBrooke', 'RattPack']",diane neal aka casey novak bae goal follow rip brooke everbrooke,law and order svu  logic  eminem  4 ever brooke  ratt pack
45,395820172.0,"Jacksonville, FL",Just a man trying to be a good husband and father. Also happen to like the Jaguars and AEW. Might occasionally tweet about them. / #BLM / #StopAsianHate,"['BLM', 'StopAsianHate']",man try good husband father happen like jaguars aew occasionally tweet,blm  stop asian hate
46,2781812629.0,"Washington, USA","Happily retired and living in Washington state. I love to read, walk and spend time with my kitties. Hubby & I are so happy to have Joe Biden as our President!",[],happily retire live washington state love read walk spend time kitties hubby happy joe biden president,
47,8.55e+17,"Newport, OR",Custom Australian Merino wool Blankets. My husband and I are the creators and designers behind WoolByTheSea LLC hand knitted merino wool blankets.,[],custom australian merino wool blanket husband creators designers woolbythesea llc hand knit merino wool blanket,
48,375945451.0,"Brooklyn, NY","Tony Award Winning Producer | Mets, NY Rangers, & UCF Knights | 1/2 of @emberprodux | @offtherailsnet | @FirstClassMTS competitor | Producer @letsgetreadynet",[],tony award win producer mets rangers ucf knight competitor producer,
49,145351466.0,"Belleville, Ontario","Love to play all kinds of Sports. My Gym is Where I Train, Eat Clean & Train Hard live a Healthy lifestyle Rick0424 follow me i follow back :)",[],love play kinds sport gym train eat clean train hard live healthy lifestyle rick follow follow,
50,39445518.0,"Los Angeles, CA","Skateboard B. Singer - Songwriter - More Jack than Leo. Lend me your ear, ill make you a believer. B3, And Ember’s Dad. CareAboutTheSound. NSR. XLAP. RPO.",[],skateboard singer songwriter jack leo lend ear ill believer ember dad nsr xlap rpo,
51,1.22e+18,"Ladera Heights, CA",I don’t like short niggas ✨,[],like short niggas,
52,130037212.0,Orlando | Toronto | Denver,graphic design for themed experiences & digital communications 🌊 currently working for a mouse and margarita connoisseur (she/her) 🏳️‍🌈,[],graphic design theme experience digital communications currently work mouse margarita connoisseur,
53,306953937.0,"West Roxbury, Boston",#Justice4Chrystul Malcolms Mom HarvardDiv #COVIDPoolTesting #RedDeal #PeopleVsFossilFuels @BostonSchools:RestorativJustice #RankedChoiceVoting #BlackLivesMatter,"['Justice4Chrystul', 'COVIDPoolTesting', 'RedDeal', 'PeopleVsFossilFuels', 'RankedChoiceVoting', 'BlackLivesMatter']",malcolms mom harvarddiv,justice 4 chrystul covid pool testing  red deal  people vs fossil fuels  ranked choice voting  black lives matter
54,2901384887.0,"Portland, OR","Registered Nurse, Author, Presenter, Specializing in gerontology, Parkinson's, Alzheimer's. Currently writing book series “Higgins Valley Moments.”",[],register nurse author presenter specialize gerontology parkinson alzheimer currently write book series higgins valley moments,
55,324136826.0,"Los Angeles, CA",Manager for @Clix | Business Inquiry: Clix@NRG.gg | Director for @Dr3aminClothing,[],manager business inquiry clix director,
57,14726688.0,"Vancouver Island, Canada",🏳️‍🌈 🇨🇦Settler on Snuneymuxw Territory Blogger Music Politics #BLM. Singer-Songwriter. Former Nurse/Union President,['BLM'],settler snuneymuxw territory blogger music politics singer songwriter nurse union president,blm
58,584206382.0,Chicago,"Chronicler of “My Exploitation Education” at @DailyGrindhouse, screenwriter, Cubs fan, vegetarian, Larry Cohen expert, cat herder. All opinions mine, etc.",[],chronicler exploitation education screenwriter cub fan vegetarian larry cohen expert cat herder opinions,
59,1.3e+18,"Atlanta, GA",Your favorite hoe on the Internet,[],favorite hoe internet,
60,2957741071.0,"Toronto, Ontario",work @hybridclothing,[],work,
61,1.35e+18,"Quincy, MA","A regular person in Boston media. Quincy Ma
Owner:The FakeNewZ
Pg1 American Revolution
3.5.1770. MEDIA. Page1 SCHOOLS
Running for President 2024
WBCN BOSTON 14Y",[],regular person boston media quincy owner fakenewz american revolution media page school run president wbcn boston,
62,9.23e+17,the moon,19 she/her @bubbapaj :),[],,
63,353568320.0,"Las Vegas, NV","Retired Apex Content Creator, OnlyFans rich girl",[],retire apex content creator onlyfans rich gir,
64,213120036.0,"Somerville, MA",A Star dog champion!,[],star dog champion,
65,2839051893.0,NYC,"everyone’s favorite little brother. trans, hiv & disability activist. ultramarathoner. ia 764. public health student. currently: caroline or change bway",[],favorite little brother trans hiv disability activist ultramarathoner public health student currently caroline change bway,
66,7.75e+17,"Sacramento, CA","Fire Arts  Music  coffee ....improvised impromtu  everything. 
http://youtu.be/OXPyfuBrOxA
http://showupsacramento.com/videos/nb-oks",[],arts music coffee improvise impromtu,
67,471588009.0,"RAQ, LA",Busy Fighting Demons,[],busy fight demons,
68,1.03e+18,"Chicago, IL",https://gvpmclothing.com/,[],,
69,51405331.0,"Fort Myers, FL",HVAC TECHNICIAN/HUSBAND/FATHER OF 2/PHOTOGRAPHER/Snapchat: @Choppajit2,[],hvac technician husband father photographer snapchat,
70,2223891277.0,PG County,Eye Dee Kay,[],eye dee kay,
71,8.28e+17,"Rochester, NY",Buffalo Bills Super Fan 🏈🏈 Poker Player♠️♠️Jimmy Buffett listener 🏝🏝Pit Boss Smoker🐷🐷 Tennessee Volunteer Fan🔸️🔸️,[],buffalo bill super fan poker player jimmy buffett listener pit boss smoker tennessee volunteer fan,
72,7.75e+17,"Los Angeles, CA",“Would you say I have a plethora of piñatas?”,[],plethora piñatas,
73,9.01e+17,United States,"Mom & Gramma, crazy cat lady, paralegal, RSD/CRPS warrior, #BLM #WtpBLUE #BidenHarris","['BLM', 'WtpBLUE', 'BidenHarris']",mom gramma crazy cat lady paralegal rsd crps warrior,blm  wtp blue  biden harris
74,1.28e+18,"Dakhóta Land (Minneapolis, MN)",Queer troublemaker (they/them) trying to create a new world by unlearning and relearning. Question everything. 👁 All opinions are my own❗️,[],queer troublemaker try create new world unlearn relearn question opinions,
75,7.22e+17,with mi amor Brendon🤍,𝐓𝐗 | 🇨🇿,[],,
76,9.74e+17,"Los Angeles, CA",⚠️NSFW 18+ ONLY⚠️ 25•she/her• biracial•Alt Model & @suicidegirls since 2016•dogmom• fuck it I’m here for a good time not a long time,[],nsfw biracial alt model dogmom fuck good time long time,
77,16136382.0,New York City,Here for politics and drag. Proud 2nd generation Salvadoran American. Lifelong NYer. Yanks/Jets. ideologically i’m the sweet spot between AOC and Kamala.,[],politics drag proud generation salvadoran american lifelong nyer yank jet ideologically sweet spot aoc kamala,
78,229231438.0,"Baltimore, MD","#MD #Sapiosexual #NaturalHairEnthusiast
#FOODIE                                           
Live Love Learn Smile. ♡

ff @DextHairity","['MD', 'Sapiosexual', 'NaturalHairEnthusiast', 'FOODIE']",live love learn smile,md  sapiosexual  natural hair enthusiast foodie
79,1.09e+18,"Cape Coral, FL",Milf Hunter,[],milf hunter,
80,1.47e+18,"Phoenix, AZ",Ugh a bio?,[],ugh bio,
81,596913835.0,Fond du Lac WI,Hard Working American- Your pronouns suck! Let's Go Brandon🤭🤣😂,[],hard work american pronouns suck let brandon,
82,1.02e+18,"San Antonio, TX","Naval war veteran,grill pro,IPA's 🍺Fan of Clutch, Spurs,Longhorns,Cowboys,Clash,PinkFloyd,Pantera,BadReligion,ZZTOP, metal,punk,rockabilly,psychobilly",[],naval war veteran grill pro ipa fan clutch spur longhorns cowboys clash pinkfloyd pantera badreligion zztop metal punk rockabilly psychobilly,
83,460656546.0,"Miami, FL",Cojelo suave,[],cojelo suave,
84,46531629.0,"New Orleans, LA","NOLA ⚜️ ♎️ Talent buyer, Artist manager, Music lover.",[],nola talent buyer artist manager music lover,
85,14456685.0,LA || NJ || UK,two time state yelling champion. approximately zero fucks given. all opinions/trash are my own & bad. venmo; tentwentysixpm,[],time state yell champion approximately zero fuck give opinions trash bad venmo tentwentysixpm,
86,24148106.0,"Trussville, Alabama",I’m married and have four fur babies. I’m a Neurophysiology Technologist and work at UAB Hospital. #War Eagle #GoBraves,"['War', 'GoBraves']",marry fur baby neurophysiology technologist work uab hospital eagle,war  go braves
88,743616312.0,Southwest Washington,"Official WSDOT account for Clark, Cowlitz, Klickitat, Lewis, Pacific & Skamania counties. Monitored 7:30am-4pm Mon-Fri. 
Please call 911 to report road hazards.",[],official wsdot account clark cowlitz klickitat lewis pacific skamania counties monitor mon fri report road hazard,
90,14168524.0,Utah,"Ski Industry Outsider™️ — Prev. @Snowbird, @AspenSnowmass, @SierraAtTahoe, @Freeskier, @SundayRiver. Marketing Director for @Pagely & @GoDaddy. ⛷",[],ski industry outsider prev market director,
91,1.42e+18,"New York, NY","🥴 ♒ Pole Dancer/Stripper. HIV+ Advocate. Male Storm ⚡️Tattoos and Hoodoo. Homo superior. Poly Pocket (I’m Poly, so are my Pockets) CashApp $BlackPhoenixDance",[],pole dancer stripper hiv advocate male storm tattoo hoodoo homo superior poly pocket poly pocket cashapp,
92,1622136505.0,"California, PA",Im God and we live in a simulation,[],god live simulatio,
93,1602852614.0,"Portland, Oregon","Unofficial automated posting of calls for service minus traffic stops, created by @rosecitytransit; scanner feed: http://www.broadcastify.com/listen/feed/20613/",[],unofficial automate post call service minus traffic stop create scanner fee,
94,103092003.0,"Mouton Cove, Abbeville, LA","Live 10-minute weather data from a personal weather station in Mouton Cove, Abbeville, LA.",[],live minute weather data personal weather station mouton cove abbeville,
95,1.37e+18,"Orlando, FL",Google Me 🎥🤪|CEO of @HM_Incorporated 📺| Ebony Domme ⛓| Travel Companion | FMTY 🛬| https://www.luxylist.it/bookingharmonie |Private rendezvous ⤵️,[],google ceo ebony domme travel companion fmty private rendezvous,
96,194785108.0,Da island / sometimes miami,QUILLGANG ⚔️ SWITCHBLADE,[],quillgang switchblade,
97,963550891.0,"Tallahassee, FL",Justin | YUKI | bad Project M Marth and badder LoL Ezreal | Smash Free Agent | @edgyanakin partner in crime 💘 | BLM and DTWD,[],justin yuki bad project marth badder lol ezreal smash free agent partner crime blm dtwd,
99,4826787073.0,"Vancouver, British Columbia",harry styles.,[],harry style,
100,9.81e+17,"Atlanta, GA",ART SAVED MY LIFE & I am magical manifestor of greatness 🦋333 kellyjcreatesmagic@gmail.com 👉🏾 ig: kellyfreespirit333 ✨ Sacred Woman,[],art save life magical manifestor greatness com kellyfreespirit sacred woma,
101,403701445.0,Perth,"Pen & Ink artist, pointillism is my specialty, thalidomide survivor born w/o arms. Wife to Rae. She/her. Fully vaxxed. The FDA did not approve thalidomide ‘60.",[],pen ink artist pointillism specialty thalidomide survivor bear arm wife rae fully vaxxed fda approve thalidomide,
102,377451961.0,"Chicago, IL",Live Scene | Sweetside Pastry | EmbroidMy | YachtLife,[],live scene sweetside pastry embroidmy yachtlife,
103,50216130.0,"Nashville, TN","Too light to be darkskin, too dark to be lightskin, just stuck in the middle.",[],light darkskin dark lightskin stick middle,
104,23840138.0,Los Angeles,Photographer | DJ | Co-Founder @onestopfilmlab + @thesestreetsmag,[],photographer founder,
106,620772361.0,"Murfreesboro, TN","I post original art every day. I make op art, surrealism, animated music videos. Click the link for CARBON NEUTRAL NFTs. Therapy is good! 🧠+❤=🖼",[],post original art day art surrealism animate music videos click link carbon neutral nfts therapy good,
108,155417186.0,"San Francisco, Ca","Things I love: the SF Giants, bourbon, pizza, music on vinyl, popcorn.",[],things love giants bourbon pizza music vinyl popcorn,
109,770639623.0,"Portland, OR","🌪 ISU 🌪. Roma #OpreRoma. Food and food system obsessed 😋👀. TTRPG player and creator 🎲. I write things. Pan/Demi, poly and trans.",['OpreRoma'],isu roma food food obsess ttrpg player creator write things pan demi poly trans,opre roma
110,2719140689.0,"Seattle, WA","She/They🏳️‍🌈, Member of the Gruesome Twosome 😏 @zarakat_ ❤️🔥 #BLM✊🏿",['BLM'],member gruesome twosome,blm
111,1.42e+18,"Los Angeles, CA","𝔸𝕟 𝕦𝕟𝕤𝕥𝕠𝕡𝕡𝕒𝕓𝕝𝕖 𝕗𝕠𝕣𝕔𝕖 𝕥𝕠 𝕥𝕙𝕚𝕤 𝕦𝕟𝕚𝕧𝕖𝕣𝕤𝕖
                                  
          🇲🇽🇺🇸🏳️‍🌈",[],𝕦𝕟𝕤𝕥𝕠𝕡𝕡𝕒𝕓𝕝𝕖 𝕗𝕠𝕣𝕔𝕖 𝕥𝕙𝕚𝕤 𝕦𝕟𝕚𝕧𝕖𝕣𝕤𝕖,
112,3314070119.0,"Atlanta, GA",Just an Irish kid taking on the US🏉,[],irish kid take,
115,54463831.0,"California, USA",A weather/sunset/astronomy/plant enthusiast. A hard-working bearded warehouse courier at Cisco. My instagram: http://instagram.com/54stormywill54,[],weather sunset astronomy plant enthusiast hard work beard warehouse courier cisco instagram,
116,4670464879.0,"Chicago, IL",I am currently advocating and raising funds for The Spina Bifida association. I Do Not support Trump and his régime.,[],currently advocate raise fund spina bifida association support trump régime,
117,19772054.0,"Kansas City, KS","New Media Art Professor
Project: @EpilepsiaAI
Founder: @ENTERACTions @h0axgallery
Sponsors: @NEAarts @SpencerMuseum @warholfdn @OKContemporary @KCMAAA",[],new media art professor project founder sponsor,
119,9.4e+17,he slash him,OU ‘25 ♌︎ | entp,[],entp,
120,554127343.0,"North Carolina, USA","24 | Head Esports Coach @ChowanEsports | Val Coach/Imm Sentinel | Previously: @Recon5Val , @ATKMode , @PFWESPORTS",[],head esports coach val coach imm sentinel previously,
122,513694562.0,"Chicago, IL",Suga #4L 🌸 | you only live once 🧚🏽✨,['4L'],suga live, 4 l
124,207867983.0,"Fort Lauderdale, FL",…hoe,[],hoe,
125,536740809.0,Jamaicaaaaaa ✈️,failure was never an option. 😉,[],failure option,
127,20417248.0,"Long Beach, CA",creator of things IG: TheLegendOfRena @NuevaLuxe,[],creator things thelegendofrena,
128,37864520.0,Las Vegas,"Live life, Music is Life. @DJ,@Caesarspalace @gossybar , @mattgoss. @level107lounge. #bar3535 @cromwellvegas @TheLinq @FlamingoVegas @Blue_Martini_Lv",['bar3535'],live life music life,bar3535
129,8.07e+17,Downey 🌴 || Berkeley 🌲,ex-android owner 🤩 // Cal '22,[],android owner cal,
130,2505542005.0,"Delaware, USA",#Universe #FreeThinker 👽🌍🐴🦄☯️♍️,"['Universe', 'FreeThinker']",,universe  free thinker
131,1.43e+18,Off the grid,I don’t respect the opinions of others.,[],respect opinions,
132,346102567.0,"Phoenix, AZ",snapchat minivick9 or rhodesmaxsutton,[],snapchat minivick rhodesmaxsutto,
133,171337448.0,Minnesota,I play music. entertainment marketing - for booking/business only email djkambennett@gmail.com,[],play music entertainment market book business email djkambennett com,
134,77470177.0,ATL✈️HOU,@tobisatire 💕| @thewinedownpod 🎤| $nysha 💸 | @eatsfromatlanta🍴| educator🍎 | IG: _girlfromatlanta 📸 |,[],nysha educator girlfromatlanta,
136,424346533.0,"Los Angeles, CA",Adventures in Foods and Travels. Follow me on Instagram too.,[],adventure foods travel follow instagram,
137,22841725.0,Hollywood,"Metal Edge Mag's Another Fn Podcast. Singer for @ackacetribute , Comic. Host of @soundchecklive & @monsterscruise, guitars for @thesmokinkills, @ghsstrings",[],metal edge mag podcast singer comic host guitars,
138,67286517.0,The Capital City,Petroleum-powered leaf blower. Pro-nouns: Burgers/Beers.,[],petroleum power leaf blower pro nouns burgers beers,
139,8.27e+17,"Bridgeport, CT",⚠️ Most tweets NSFW. #Vegas native. SM & Brand Ambassador for @WhatsTheT. Single. 🏳️‍🌈🐻♋️ CT | NYC #FootFetish #BlackLivesMatter #FullyVaccinated 💉,"['Vegas', 'FootFetish', 'BlackLivesMatter', 'FullyVaccinated']",tweet nsfw native brand ambassador single nyc,vegas  foot fetish  black lives matter  fully vaccinated
141,744600025.0,"San Jose, CA",Hoop Coach🏀 Dog dad🐶,[],hoop coach dog dad,
142,239667286.0,"stuart, fl",my friends call me susan ッ seafoam green is not teal. refer to the yt link below for clarification | 🐝💙,[],friends susan seafoam green teal refer link clarification,
143,1.22e+18,"Detroit, MI","I give the best massages of your life,  I'm a content creator amateur pornstar, I have a many vids ,Pornhub, offering video sessions via cash app ..only",[],best massage life content creator amateur pornstar vids pornhub offer video sessions cash app,
144,64668734.0,"Washington, DC",½ of @DavonAndTreyvon Podcast | @DH__Events | LGBTQ+ Advocate | IG: DavonHamilton | ♊️ | #AllBLM | Philanthropist | Events Director for @ImpulseGroupDC,['AllBLM'],podcast lgbtq advocate davonhamilton philanthropist events director,all blm
145,342489906.0,"Erie, PA","http://Twitch.tv/joshcantsleep

Steelers, Indians, NC State, Golden Knights

I can be funny sometimes",[],steelers indians state golden knight funny,
146,1.42e+18,CashApp: $itsfrankielarose,UNCENSORED content creator 😜🍑🔥🍒💘 Silent Send $$$ or Approach for personalized pics&vids/ video chats/ phone calls/ sexting & more  😇👅💦,[],uncensored content creator silent send approach personalize pics vids video chat phone call sexting,
147,254621904.0,The ville,This Louisville thang is in my blood,[],louisville thang blood,
148,1206807192.0,"Virginia, USA",♎️♎️♐️     https://vm.tiktok.com/TTPdYqRWTB/,[],,
149,2200895104.0,"Manhattan, NY",$HMBL is the future🌎You are your brothers keeper-To save 1 life is to save all of humanity-Tikkun Olam💥𝐑𝐍⛑ sells on📺sometimes 💃NYC💫 Florida 🏝 Vaccinated,[],hmbl futureyou brothers keeper save life save humanity tikkun olam𝐑𝐍 sell onsometimes nyc florida vaccinate,
150,9.62e+17,if u need me im here,18 ❣︎ so sad so sexy ❥ @xkitty666x 🔞 this a burner acc // genderfluid (she/him) n bi // if you’re man gtfo my page 🖤 ⚠️ this is a man hate zone ⚠️,[],sad sexy burner acc genderfluid man gtfo page man hate zone,
151,1.4e+18,"Phoenix, AZ",I was a trucker for most of my life. In 2020 I was diagnosed with Stage 3 Rectal Cancer now I'm Stage 4. I guess I'm retired trying to stay above ground. No DM,[],trucker life diagnose stage rectal cancer stage guess retire try stay grind,
153,8.8e+17,"Spring, TX",Philly born and raised.And proud  of that fact.🇺🇸 Vietnam vet. I love ⚾️.🍽️Restaurant Idiot Savant,[],philly bear raise proud fact vietnam vet love restaurant idiot savant,
154,3963410234.0,661,22 | sac state 🐝,[],sac state,
155,1.38e+18,"Fort Lauderdale, FL",I’m my authentic self ♒️,[],authentic self,
156,1.33e+18,"Palm Springs, CA","Just a guy who took a chance...  ♐🏳️‍🌈

http://justfor.fans/420BankMrLthr  

Go ahead: OBJECTIFY ME - RETWEET & FOLLOW",[],guy take chance ahead objectify retweet follow,
157,9.11e+17,"Fayetteville, AR",Razorbacks🐗❤️🐗WPS🐗❤️🐗Cowboys🤠⭐️ Cubs🐻💙,[],razorbacks wps cowboys cub,
158,1.23e+18,"Pittsburgh, PA","Former FF&EMT. Pirates,Pens,PITT,FSU,@javy23baez,@arizzo44,Ben Gamel,negro league baseball,Al Bundy fan. Bye Trump! Baseball HOF member & pirates STH ⚾⚫🟡💉",[],emt pirate pen pitt fsu ben gamel negro league baseball bundy fan bye trump baseball hof member pirate sth,
